StrategyNo,StrategyDescription,PreTest,PreTestDelay,EntryTest,EntryTestDelay,ExitTest,ExitTestDelay,QDaysMin,QDaysMax,QTestName_1,QTestDelay_1,QTestStart_1,QTestEnd_1,QTestFreq_1
1,Quarantine Only,,,,,,,0,21,,,,,
2,"PreTest, EntryTest, ELISA 0D",ELISA,0,QuickVue,0,,,0,21,,,,,
3,"PreTest, EntryTest, ELISA 1D",ELISA,1,QuickVue,0,,,0,21,,,,,
4,"PreTest, EntryTest, QuickVue",QuickVue,0,QuickVue,0,,,0,21,,,,,
5,"PreTest, EntryTest, PCR 0D",PCR,0,QuickVue,0,,,0,21,,,,,
6,"PreTest, EntryTest, PCR 1D",PCR,1,QuickVue,0,,,0,21,,,,,
7,"PreTest, EntryTest, PCR 2D",PCR,2,QuickVue,0,,,0,21,,,,,
8,"PreTest, EntryTest, ExitTest, ELISA 0D",ELISA,0,QuickVue,0,ELISA,0,0,21,,,,,
9,"PreTest, EntryTest, ExitTest, ELISA 1D",ELISA,1,QuickVue,0,ELISA,1,0,21,,,,,
10,"PreTest, EntryTest, ExitTest, QuickVue",QuickVue,0,QuickVue,0,QuickVue,0,0,21,,,,,
11,"PreTest, EntryTest, ExitTest, PCR 0D",PCR,0,QuickVue,0,PCR,0,0,21,,,,,
12,"PreTest, EntryTest, ExitTest, PCR 1D",PCR,1,QuickVue,0,PCR,1,0,21,,,,,
13,"PreTest, EntryTest, ExitTest, PCR 2D",PCR,2,QuickVue,0,PCR,2,0,21,,,,,
14,"PreTest, EntryTest, ExitTest, DailyTest, ELISA 0D",ELISA,0,QuickVue,0,ELISA,0,0,21,ELISA,0,1,,1
15,"PreTest, EntryTest, ExitTest, DailyTest, ELISA 1D",ELISA,1,QuickVue,0,ELISA,1,0,21,ELISA,1,2,,1
16,"PreTest, EntryTest, ExitTest, DailyTest, QuickVue",QuickVue,0,QuickVue,0,QuickVue,0,0,21,QuickVue,0,1,,1
17,"PreTest, EntryTest, ExitTest, DailyTest, PCR 0D",PCR,0,QuickVue,0,PCR,0,0,21,PCR,0,1,,1
18,"PreTest, EntryTest, ExitTest, DailyTest, PCR 1D",PCR,1,QuickVue,0,PCR,1,0,21,PCR,1,2,,1
19,"PreTest, EntryTest, ExitTest, DailyTest, PCR 2D",PCR,2,QuickVue,0,PCR,2,0,21,PCR,2,3,,1
20,"PreTest, EntryTest, ExitTest, TestEvery2Days, ELISA 0D",ELISA,0,QuickVue,0,ELISA,0,0,21,ELISA,0,1,,2
21,"PreTest, EntryTest, ExitTest, TestEvery2Days, ELISA 1D",ELISA,1,QuickVue,0,ELISA,1,0,21,ELISA,1,2,,2
22,"PreTest, EntryTest, ExitTest, TestEvery2Days, QuickVue",QuickVue,0,QuickVue,0,QuickVue,0,0,21,QuickVue,0,1,,2
23,"PreTest, EntryTest, ExitTest, TestEvery2Days, PCR 0D",PCR,0,QuickVue,0,PCR,0,0,21,PCR,0,1,,2
24,"PreTest, EntryTest, ExitTest, TestEvery2Days, PCR 1D",PCR,1,QuickVue,0,PCR,1,0,21,PCR,1,2,,2
25,"PreTest, EntryTest, ExitTest, TestEvery2Days, PCR 2D",PCR,2,QuickVue,0,PCR,2,0,21,PCR,2,3,,2
26,"PreTest, EntryTest, ExitTest, TestEvery3Days, ELISA 0D",ELISA,0,QuickVue,0,ELISA,0,0,21,ELISA,0,1,,3
27,"PreTest, EntryTest, ExitTest, TestEvery3Days, ELISA 1D",ELISA,1,QuickVue,0,ELISA,1,0,21,ELISA,1,2,,3
28,"PreTest, EntryTest, ExitTest, TestEvery3Days, QuickVue",QuickVue,0,QuickVue,0,QuickVue,0,0,21,QuickVue,0,1,,3
29,"PreTest, EntryTest, ExitTest, TestEvery3Days, PCR 0D",PCR,0,QuickVue,0,PCR,0,0,21,PCR,0,1,,3
30,"PreTest, EntryTest, ExitTest, TestEvery3Days, PCR 1D",PCR,1,QuickVue,0,PCR,1,0,21,PCR,1,2,,3
31,"PreTest, EntryTest, ExitTest, TestEvery3Days, PCR 2D",PCR,2,QuickVue,0,PCR,2,0,21,PCR,2,3,,3
